Participant,GoodBad,Angle1,Angle2,Angle3,Angle4
1,0,12.6485,12.0849,75.8157,82.0872
1,0,10.8843,11.3535,74.1396,79.707
1,0,10.9002,11.3764,74.1346,79.7111
1,0,10.9227,11.3126,74.1279,79.7081
1,0,10.8763,11.2254,74.1276,79.7228
1,0,10.8466,11.1965,74.1209,79.7222
1,0,10.911,11.1365,74.1086,79.6942
1,0,10.9093,11.1123,74.0949,79.6702
1,0,10.8519,11.0959,74.0856,79.6897
1,0,10.7257,11.1035,74.0963,79.7079
1,0,10.6187,11.2751,74.4469,79.9829
1,0,10.4719,11.212,74.524,80.1178
1,0,10.3763,11.1868,74.5565,80.19
1,0,10.2815,11.31,74.3822,80.0644
1,0,10.1821,11.3681,74.224,79.9109
1,0,10.1694,11.4894,74.2262,79.8194
1,0,10.1872,11.5237,74.2825,79.7561
1,0,10.2251,11.5611,74.3578,79.7328
1,0,10.2417,11.717,74.4896,79.7004
1,0,10.468,11.6608,74.5076,79.7333
1,0,10.5285,11.7289,74.5488,79.7238
1,0,10.5984,11.8521,74.6566,79.7572
1,0,10.625,12.2045,74.7301,79.6699
1,0,10.7386,12.4545,74.6579,79.4314
1,0,10.9143,12.7921,74.5666,79.2813
1,0,11.0824,13.0195,74.4436,79.1595
1,0,11.2075,13.0985,74.4118,79.1297
1,0,11.3621,13.2616,74.3137,79.0771
1,0,11.4781,13.6458,74.2158,78.9129
1,0,11.5831,14.1254,74.1369,78.7241
1,0,12.3706,14.7729,73.6668,78.3486
1,0,13.3408,15.2277,73.0101,77.8994
1,0,14.1272,15.6513,72.5739,77.4185
1,0,14.7141,16.1424,72.2456,76.9335
1,0,15.1474,16.4609,72.0908,76.6346
1,0,15.7373,16.7019,71.7275,76.3821
1,0,16.2831,16.9159,71.3503,75.9809
1,0,16.8364,17.2712,71.0927,75.5826
1,0,17.2054,17.4442,70.8917,75.415
1,0,17.6972,17.7467,70.5505,75.0997
1,0,18.1202,18.0219,70.2697,74.7793
1,0,18.5695,18.2899,69.9578,74.4288
1,0,19.0295,18.5186,69.6704,74.1402
1,0,19.3084,18.7259,69.5049,73.8864
1,0,19.3261,18.7723,69.5601,73.8262
1,0,19.0345,18.7087,69.8696,73.9031
1,0,18.4739,18.6727,70.4302,74.0461
1,0,18.3889,18.7652,70.6695,74.2387
1,0,18.758,18.8782,70.5959,74.5123
1,0,19.4604,19.1482,70.3162,74.6392
1,0,20.1356,19.4903,70.0228,74.5554
1,0,20.9322,20.3473,69.5116,73.9368
1,0,21.7002,21.2918,68.9283,73.0149
1,0,22.1005,22.0244,68.4664,72.1112
1,0,22.7481,22.9867,67.6629,70.7998
1,0,23.4278,23.9581,66.6959,69.2445
1,0,24.1814,24.9534,65.5173,67.7424
1,0,24.933,25.9583,64.2977,65.9669
1,0,25.6591,26.8419,63.3444,64.3804
1,0,26.567,27.8266,62.3214,62.7372
1,0,27.5461,29.0299,61.1504,61.1982
1,0,28.4704,30.4047,60.2338,59.5162
1,0,29.4721,31.3615,59.7297,58.2629
1,0,30.6893,32.7634,58.9395,56.8213
1,0,31.6163,33.8819,58.361,55.7671
1,0,32.7616,35.2661,57.7796,54.7737
1,0,33.9331,36.5064,57.2531,53.7584
1,0,34.8707,37.8984,56.9565,52.5922
1,0,36.2463,39.0564,56.4847,51.682
1,0,38.1287,40.3568,55.6485,50.6469
1,0,39.4325,41.5342,55.3447,49.7888
1,0,41.1457,43.2011,55.2259,48.779
1,0,42.6906,44.7008,55.1556,47.9889
1,0,44.1501,46.294,55.4369,47.0664
1,0,45.5723,48.0031,55.9517,46.3953
1,0,46.8308,49.5275,56.1236,46.1998
1,0,48.6873,51.1867,56.5016,46.1667
1,0,49.7803,52.3375,57.3445,46.277
1,0,51.0346,54.314,59.8818,46.8515
1,0,51.5119,56.064,63.6128,48.4093
1,0,50.9185,56.4418,68.3811,52.7387
1,0,49.4525,56.2074,76.5065,62.6429
1,0,48.4111,56.7173,85.0043,72.6381
1,0,48.3268,57.7698,95.7819,84.4417
1,0,49.1433,59.4456,105.0202,94.7507
1,0,51.1377,61.3114,114.7946,104.7444
1,0,53.953,62.9297,124.8826,114.6085
1,0,56.4734,64.1878,132.9589,122.7683
1,0,58.8763,65.249,141.9941,131.3854
1,0,60.4312,65.3285,149.0654,137.0341
1,0,61.664,64.231,156.2003,142.153
1,0,63.2321,63.7467,163.0562,147.9273
1,0,64.3006,62.7799,168.8072,152.0341
1,0,67.9693,61.8314,174.4214,152.7241
1,0,67.5759,61.8636,175.1125,153.7409
1,0,67.1163,61.7482,175.003,153.7841
1,0,66.6275,61.8193,174.8287,153.1184
1,0,66.0187,62.6333,173.9474,152.6064
1,0,65.829,62.9545,173.5023,151.9974
1,0,65.5914,63.2424,171.8725,150.7583
1,0,64.9067,63.4168,168.2833,147.0241
1,0,63.8761,63.6562,160.5097,140.8088
1,0,63.3617,64.5741,151.4607,131.054
1,0,60.9217,66.723,140.1202,116.5364
1,0,60.6127,70.9248,121.0502,96.0276
1,0,63.5091,73.6413,105.9119,79.9539
1,0,66.0812,76.7042,93.2642,67.7623
1,0,70.6394,79.3589,80.4508,58.7278
1,0,80.0844,84.5614,57.8932,43.4716
1,0,87.5073,88.2586,42.9011,34.1556
1,0,90.7513,88.4761,34.7155,29.1958
1,0,90.8933,86.7905,31.0051,27.4152
1,0,92.1548,85.661,28.6937,27.1927
1,0,92.2094,84.127,26.8833,27.8221
1,0,91.9615,81.9548,25.3209,28.5854
1,0,92.3253,81.4397,25.2958,29.784
1,0,91.9525,80.8133,24.6015,29.8315
1,0,91.5366,80.1369,24.239,29.2096
1,0,90.8894,80.2404,23.3442,27.6447
1,0,90.8237,80.7408,22.7932,27.0865
1,0,90.5773,80.8184,21.8085,24.826
1,0,90.2083,79.9234,20.7943,18.3025
1,0,87.9703,78.8706,18.7706,14.4295
1,0,79.5475,79.3057,27.9465,16.2601
1,0,75.3017,78.2727,42.8989,22.4071
1,0,72.9749,76.388,57.0873,34.2417
1,0,71.2245,74.918,70.036,47.0797
1,0,69.5209,73.2649,85.8389,63.9846
1,0,69.0695,72.527,96.343,76.5628
1,0,68.1027,72.0836,107.5478,90.9435
1,0,69.5983,71.149,116.9729,104.0259
1,0,71.9545,69.8162,125.3511,117.0057
1,0,73.1762,68.7915,131.6374,125.4144
1,0,75.1647,67.8067,139.2364,132.3049
1,0,76.3685,66.8866,148.1276,137.4599
1,0,77.0968,66.3281,156.3322,143.7582
1,0,73.5557,66.3916,158.4423,145.3174
1,0,74.4514,65.7623,161.2756,145.8213
1,0,74.7707,63.0804,163.4541,148.8624
1,0,73.7718,62.0499,163.6515,148.6882
1,0,69.7197,61.7706,163.6305,148.1824
1,0,69.2838,61.4979,161.9129,146.2138
1,0,68.8678,61.1345,159.1888,144.5977
1,0,67.1761,60.484,152.0929,141.1633
1,0,64.9677,60.3502,141.7763,136.9048
1,0,64.4161,60.5254,133.9486,128.8764
1,0,62.2678,62.9129,124.9077,114.3341
1,0,61.6611,70.5654,109.0448,98.4528
1,0,67.1268,76.0387,91.714,79.5283
1,0,78.9084,81.8278,67.8558,59.9705
1,0,87.4338,87.5826,56.362,50.0061
1,0,93.1078,91.6649,47.8369,40.0843
1,0,96.379,94.9404,42.2542,34.9065
1,0,97.7427,96.3121,38.722,33.818
1,0,98.6962,95.9008,36.5923,32.9424
1,0,99.7941,96.2179,34.8122,33.7619
1,0,100.3079,96.4131,33.7225,34.9081
1,0,100.1029,95.6967,32.7424,34.7181
1,0,100.189,95.0534,31.8082,34.0112
1,0,99.5496,94.4018,30.6241,33.0133
1,0,99.3594,93.9556,29.6728,31.9997
1,0,99.2143,93.6337,28.6033,30.8866
1,0,98.425,92.9817,27.5829,29.1618
1,0,97.9677,92.2003,25.8491,26.852
1,0,97.0358,91.0876,23.7456,24.7365
1,0,96.4665,89.629,21.6053,22.0976
1,0,95.4706,88.4204,19.3055,20.1509
1,0,94.7002,87.2931,17.4792,18.5623
1,0,93.4244,83.9821,13.3514,15.0053
1,0,91.3386,80.8092,9.4584,14.7324
1,0,89.4931,78.6203,5.9877,14.7455
1,0,87.2265,75.9295,1.5893,13.9124
1,0,85.3291,74.1055,2.0072,14.8807
1,0,83.1857,72.2663,5.7215,16.069
1,0,79.4711,69.6215,10.2843,17.1161
1,0,75.2862,65.7016,15.3143,20.7264
1,0,72.5136,63.4318,18.8632,23.9507
1,0,67.8554,60.5694,24.6039,27.5045
1,0,64.7537,58.524,28.6125,30.3488
1,0,60.9877,55.752,33.1126,33.7721
1,0,59.1227,53.0026,35.9216,36.8376
1,0,57.6776,49.0471,38.4295,41.1675
1,0,52.9103,46.341,42.6097,44.6149
1,0,44.9098,42.7403,49.1268,48.9927
1,0,39.1325,39.6715,53.881,52.6114
1,0,30.5689,35.8082,60.1754,56.7637
1,0,22.5465,32.8477,65.3217,60.0737
1,0,15.871,30.4066,69.3876,62.8688
1,0,9.0792,28.0171,71.7623,65.682
1,0,5.6257,25.9928,72.6033,68.3458
1,0,7.1541,24.8568,72.9149,69.9771
1,0,9.3542,23.4465,73.6061,71.9988
1,0,10.7159,21.2897,74.546,74.2679
1,0,12.5202,18.6189,75.4927,76.6649
1,0,12.5632,15.4242,76.0059,78.6821
1,0,12.2227,13.9625,76.1411,79.8764
1,0,11.9368,14.3632,75.752,79.3704
1,0,11.7083,14.0202,75.7791,79.3763
1,0,11.4501,13.7839,76.0151,79.4127
1,0,11.7186,14.4448,76.1015,78.7632
1,0,11.9433,13.9862,76.0855,78.8278
1,0,11.7487,12.0087,76.1168,80.099
1,0,11.6437,11.9904,76.0519,80.8784
1,0,11.9116,12.3443,75.8052,81.9485
1,0,12.3107,11.9448,75.4598,83.178
1,0,12.3578,11.398,75.2966,81.9878
1,0,12.014,11.6106,75.3637,80.6929
1,0,11.7144,11.7501,75.6208,80.7087
1,0,11.9436,11.7232,75.6219,81.3912
1,0,12.2666,11.6868,75.6126,81.8417
1,0,12.5364,11.6468,75.5268,81.975
1,0,12.6683,11.695,75.5269,81.9862
1,0,12.7587,11.7537,75.5565,82.0454
1,0,12.758,11.5696,75.5725,82.2538
1,0,12.7135,11.4791,75.624,82.2622
1,1,19.1258,8.91,70.9759,79.2794
1,1,12.9012,8.7477,72.1387,78.9717
1,1,13.0711,9.0004,71.7304,78.673
1,1,13.2646,9.3398,71.4468,78.3092
1,1,13.4945,9.7825,71.1221,77.8962
1,1,13.914,10.4015,70.6899,77.2197
1,1,14.499,11.0755,70.0469,76.3248
1,1,14.9902,11.6426,69.3874,75.6489
1,1,15.0815,12.276,68.9754,74.8054
1,1,16.1022,13.2702,67.8604,73.7144
1,1,17.4821,14.1556,66.5687,72.6585
1,1,18.7663,14.9608,65.3721,71.8387
1,1,19.9512,15.8958,64.3848,70.8634
1,1,20.7111,17.3711,63.338,69.6472
1,1,21.4475,18.5898,62.3619,68.5978
1,1,22.2569,19.4728,61.4875,67.6865
1,1,23.7399,21.0092,59.7644,66.031
1,1,24.9432,22.3511,58.2508,64.6196
1,1,26.1454,23.4316,56.9377,63.5779
1,1,27.5973,24.8724,55.2932,62.1521
1,1,28.5805,25.8664,54.303,61.092
1,1,30.0802,27.2927,53.2963,59.5451
1,1,31.2031,28.6466,52.8009,58.4643
1,1,32.2548,30.1004,52.1416,57.5491
1,1,33.5881,31.7305,51.4317,56.7978
1,1,35.12,33.318,50.241,55.7367
1,1,36.2149,34.5432,49.5216,54.7365
1,1,37.2613,36.2746,48.968,53.4743
1,1,38.443,37.6601,48.4278,52.5407
1,1,39.64,39.2912,48.009,51.5271
1,1,40.7808,40.7409,47.8835,50.6541
1,1,42.9803,42.5441,47.3527,49.5555
1,1,44.4465,44.0093,47.5396,48.6802
