Participant,GoodBad,Angle1,Angle2,Angle3
1,0,0,104.1955,0
1,0,0.019782,104.2947,0.059347
1,0,0,104.332,0.12354
1,0,0.027976,104.3735,0.19683
1,0,0,104.372,0.22728
1,0,0,104.2493,0.27625
1,0,0,104.0343,0.33102
1,0,0,103.7202,0.34035
1,0,0,103.3632,0.36744
1,0,0,102.9619,0.35882
1,0,0,102.5457,0.33688
1,0,0,102.1967,0.30455
1,0,0.019782,101.8196,0.25641
1,0,0,101.6155,0.20077
1,0,0,101.4537,0.065611
1,0,0.027976,101.3522,0.15195
1,0,0,101.111,0.28462
1,0,0,100.8191,0.41965
1,0,0,100.4375,0.57335
1,0,0,100.0841,0.75069
1,0,0,99.7413,0.91856
1,0,0.019782,99.3142,1.0792
1,0,0,98.8942,1.2417
1,0,0,98.4604,1.433
1,0,0.019782,97.973,1.6021
1,0,0.019782,97.5675,1.761
1,0,0,97.1519,1.9173
1,0,0.019782,96.7475,2.0701
1,0,0,96.5203,2.2372
1,0,0.019782,96.3299,2.3642
1,0,0,96.1587,2.5063
1,0,0.019782,95.8607,2.6172
1,0,0,95.6908,2.7406
1,0,0,95.5449,2.8313
1,0,0,95.511,2.9431
1,0,0.019782,95.7183,3.1002
1,0,0,95.701,3.2242
1,0,0,95.7923,3.2564
1,0,0,96.0642,3.286
1,0,0.027976,96.2171,3.2727
1,0,0,96.1595,3.3025
1,0,0,96.0844,3.3027
1,0,0,96.0981,3.3149
1,0,0,96.1023,3.3625
1,0,0,95.895,3.4518
1,0,0,95.7401,3.4886
1,0,0,95.6207,3.5221
1,0,0.019782,95.3341,3.537
1,0,0,94.8865,3.5253
1,0,0,94.8215,3.5667
1,0,0,94.6371,3.5662
1,0,0.027976,94.2042,3.5099
1,0,0,93.9533,3.4025
1,0,0.019782,93.9165,3.3973
1,0,0.027976,94.0865,3.3868
1,0,0.019782,93.9002,3.3957
1,0,0,93.3865,3.2962
1,0,0,93.1596,3.2881
1,0,0,92.8853,3.2761
1,0,0.019782,92.5659,3.2343
1,0,0,92.3613,3.1931
1,0,0.019782,92.2241,3.0928
1,0,0,91.9038,3.0116
1,0,0,91.6208,2.9028
1,0,0.027976,91.3136,2.8347
1,0,0,91.0374,2.7559
1,0,0.027976,90.873,2.6469
1,0,0,90.6539,2.5495
1,0,0,90.4629,2.4647
1,0,0,90.3878,2.4156
1,0,0,90.4692,2.4185
1,0,0,90.537,2.4303
1,0,0,90.597,2.4329
1,0,0.027976,90.6561,2.3891
1,0,0,90.9091,2.3312
1,0,0,91.1135,2.3026
1,0,0,91.3123,2.313
1,0,0,91.0261,2.2925
1,0,0,90.5441,2.3055
1,0,0,90.4909,2.3701
1,0,0,90.4984,2.4624
1,0,0.027976,90.3201,2.4892
1,0,0.027976,90.1516,2.533
1,0,0,89.9298,2.5341
1,0,0,90.2493,2.5586
1,0,0,90.1757,2.5962
1,0,0.027976,90.1423,2.6498
1,0,0,90.247,2.7041
1,0,0.019782,89.9581,2.8056
1,0,0,89.7765,2.933
1,0,0,89.9999,3.0356
1,0,0,89.8551,3.116
1,0,0,89.8306,3.1982
1,0,0.019782,89.9045,3.3007
1,0,0.019782,89.9523,3.3999
