personNum,Stage,Angle1,Angle2,Angle3,Angle4,Angle5
1,0,0.027976,165.4501,157.717,0.019782,0
1,0,0.048457,165.3626,157.9439,0.019782,0
1,0,0.11364,165.1199,158.2804,0.044235,0.034264
1,0,0.22642,164.7073,158.6123,0.076617,0.044235
1,0,0.34718,164.4575,159.1398,0.18452,0.065611
1,0,0.47888,165.4333,158.8917,0.2853,0.12354
1,0,0.59017,167.2236,157.2973,0.26761,0.17694
1,0,0.59742,168.2348,155.4585,0.24469,0.17246
1,0,0.6468,168.5581,153.7381,0.1918,0.18238
1,0,0.72605,168.4937,152.2366,0.14671,0.18131
1,0,0.81205,168.5705,150.2407,0.098912,0.16193
1,0,0.89918,169.0745,147.5943,0.019782,0.13417
1,0,0.98992,169.7815,144.7456,0.076617,0.14127
1,0,1.0938,170.3977,141.6683,0.22381,0.18131
1,0,1.2095,170.6747,138.5087,0.42613,0.22294
1,0,1.3831,171.2471,134.7136,0.62807,0.27695
1,0,1.6313,172.0919,130.8959,0.88426,0.30132
1,0,1.9204,172.6193,127.3697,1.1352,0.32865
1,0,2.1549,172.9815,123.9399,1.3631,0.36956
1,0,2.2989,173.6304,120.5706,1.6251,0.43024
1,0,2.4141,174.3331,117.0521,1.8871,0.48899
1,0,2.5059,174.2852,113.5592,2.1734,0.50899
1,0,2.5793,173.4942,110.5502,2.5082,0.52339
1,0,2.6287,172.4218,107.8991,2.8267,0.53705
1,0,2.7546,170.7746,104.7519,3.118,0.54644
1,0,2.8985,170.9331,101.7865,3.4275,0.58718
1,0,2.9599,171.3438,99.1387,3.7424,0.6576
1,0,3.0875,171.5511,96.5435,4.0612,0.72281
1,0,3.1865,171.6468,94.2051,4.3661,0.80794
1,0,3.2104,171.7127,91.9381,4.6779,0.85684
1,0,3.3368,171.6124,90.2077,4.9796,0.86185
1,0,3.3938,171.4593,88.6067,5.2153,0.88647
1,0,3.3854,171.0722,87.2391,5.4195,0.88315
1,0,3.3507,170.7178,86.3073,5.5965,0.83627
1,0,3.3304,170.5255,85.8125,5.7202,0.79549
1,0,3.3761,170.2753,85.4764,5.8084,0.77833
1,0,3.4021,170.3691,85.0251,5.8819,0.80988
1,0,3.461,171.0385,84.4173,5.9422,0.87626
1,0,3.461,172.2316,83.8268,6.0247,0.9651
1,0,3.3745,176.7701,83.1153,6.0894,1.0537
1,0,3.2875,175.6872,82.5545,6.0847,1.1259
1,0,3.1614,170.3202,81.793,6.0401,1.1337
1,0,3.0527,164.862,80.8164,5.953,1.111
1,0,3.0121,159.8798,79.8786,5.851,1.0723
1,0,3.0343,154.6732,79.0006,5.7398,0.97639
1,0,3.0935,149.4615,77.9352,5.6313,0.87648
1,0,3.1637,144.0947,76.8159,5.5246,0.76105
1,0,3.2435,139.3223,75.7295,5.3965,0.67406
1,0,3.4009,134.1009,74.3267,5.3168,0.56441
1,0,3.5732,128.7081,72.7044,5.2428,0.45927
1,0,3.6972,124.0641,71.4065,5.2297,0.44675
1,0,3.853,118.8845,70.0979,5.2134,0.49653
1,0,4.0032,113.5487,68.7726,5.1363,0.61676
1,0,4.0914,108.2926,67.9142,5.0375,0.83556
1,0,4.084,103.1245,67.619,4.9324,1.0646
1,0,4.0637,98.1888,67.484,4.8012,1.2613
1,0,4.03,93.587,67.502,4.7175,1.3777
1,0,4.0019,89.7919,67.8232,4.7112,1.4416
1,0,4.0534,86.0743,68.057,4.7576,1.5317
1,0,4.1629,82.3107,68.3221,4.8068,1.5883
1,0,4.2956,78.7938,68.9285,4.8226,1.6316
1,0,4.4899,76.1417,69.4752,4.8023,1.6671
1,0,4.6992,73.4801,69.7466,4.7679,1.7088
1,0,4.8532,71.2802,69.9596,4.6936,1.7494
1,0,5.0499,69.9542,70.0264,4.6005,1.7777
1,0,5.359,68.7301,69.6498,4.5426,1.7408
1,0,5.6548,67.673,69.2961,4.4854,1.7408
1,0,5.9472,66.5802,68.9432,4.4475,1.6382
1,0,6.2886,65.3762,68.6762,4.4623,1.5077
1,0,6.6021,64.2852,68.3736,4.4225,1.3752
1,0,6.8088,63.3926,67.9704,4.3354,1.2518
1,0,6.9549,62.776,67.3281,4.264,1.1717
1,0,7.0442,62.2939,66.3309,4.2204,1.0777
